"name_el","OGC_FID","WKT_GEOMETRY","id","name","x","y","cat","url"
"Αγία Άννα","209","POINT (25.477917641066558 37.065048980234252)","208","Ag Anna Tsikalario","                      631242.220","                     4102821.550","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/anna_tsikalario.htm"
"Άγιος Αντίπας","210","POINT (25.376089828786387 37.106263887217189)","209","Ag Antipas","                      622122.660","                     4107258.180","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/antipas_xora.htm"
"Άγιος Αντώνιος Ποταμιάς","211","POINT (25.449857529616875 37.068726883009198)","210","Ag Antonios Potamia","                      628741.210","                     4103191.170","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/antonios_potamia.htm"
"Άγιοι Θεόδωροι","212","POINT (25.493344871285014 37.185990977388954)","211","Ag Theodoroi","                      632402.720","                     4116261.070","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/theodoroi.htm"
"Άγιος Στέφανος Αριοβέρσας","213","POINT (25.508627414087606 37.004434665551628)","212","Ag Stefanos Arioversa","                      634079.260","                     4096139.590","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/ariobesa_stefanos.htm"
"Άγιος Αρτέμιος Απειράνθου","214","POINT (25.572937211098651 37.049689497411869)","213","Ag Artemios Apeir","                      639718.540","                     4101253.060","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/artemios_apeiranthos.htm"
"Άγιος Αρτέμιος Σαγκρίου","215","POINT (25.451055528455729 37.047284158334662)","214","Ag Artemios Sagkri","                      628884.030","                     4100813.840","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/artemios_sagkri.htm"
"Βαθοκοιλιώτισσα","216","POINT (25.413108832002024 37.094643964104684)","215","Vathokoiliotisa","                      625431.340","                     4106017.320","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/bathokoiliotisa.htm"
"Άγιος Βικέντιος","217","POINT (25.527633021609784 37.083986324446407)","216","Ag Vikentios","                      635628.590","                     4104992.460","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/bikentios_theotokos.htm"
"Άγιος Βλάσσης","218","POINT (25.440148988260511 37.026432361018983)","217","Ag Vlashs","                      627949.150","                     4098485.710","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/blashs.htm"
"Άγιος Δημήτριος Αριά","219","POINT (25.488023789892651 37.038583810775329)","218","Ag Dhmhtrios Aria","                      632186.700","                     4099899.390","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/dhmhtrios_aria.htm"
"Άγιος Δημήτριος Κινυδάρου","220","POINT (25.47534986229082 37.115724712468221)","219","Ag Dhmhtrios Kynidaros","                      630926.600","                     4108440.250","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/dhmhtrios_kynidaros.htm"
"Αγιά Δωριά","221","POINT (25.429603932096196 37.021670651682271)","220","Agia Doria","                      627019.070","                     4097943.280","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/doria.htm"
"Άγιος Ελευθέριος","222","POINT (25.469584498304172 37.041701768900658)","221","Ag Eleytherios","                      630541.370","                     4100219.810","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/eleytherios_damarionas.ht"
"Αγία Εύρεση","223","POINT (25.56235650310278 37.118730993846079)","222","Ag Evresh","                      638651.650","                     4108897.470","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/eyresh_argokoilh.htm"
"Άγιος Φανούριος","224","POINT (25.416388036992409 37.03863857273334)","223","Ag Fanourios","                      625815.370","                     4099808.180","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/fanoyrios_myronas_sagkri."
